retrieval,candidate_count,where,pairs,control_p50_ms,treatment_p50_ms,scoring_median_delta_ms,scoring_mean_delta_ms,ci_lower_ms,ci_upper_ms,direct_median_ms
vector,10,app,80,0.109,1.726,1.616,1.631,1.607,1.623,1.619
vector,20,app,80,0.116,3.311,3.193,3.221,3.188,3.200,3.199
vector,40,app,80,0.141,6.515,6.383,6.017,6.358,6.402,6.399
vector,80,app,80,0.149,9.312,9.166,8.834,8.469,9.462,9.178
lexical,10,app,80,0.292,1.895,1.597,1.524,1.584,1.607,1.607
lexical,20,app,80,0.322,3.489,3.135,2.599,2.543,3.174,3.175
lexical,40,app,80,0.348,3.679,3.345,3.577,2.570,3.770,3.357
lexical,80,app,80,0.341,3.662,3.317,3.751,2.517,3.762,3.366
hybrid-rrf,10,app,80,0.423,2.048,1.607,1.627,1.594,1.617,1.627
hybrid-rrf,20,app,80,0.413,3.622,3.195,3.212,3.186,3.203,3.217
hybrid-rrf,40,app,80,0.443,6.831,6.383,6.003,6.358,6.402,6.408
hybrid-rrf,80,app,80,0.470,9.429,8.990,8.816,8.496,9.748,8.985
