stage_id,role,retrieval,reranker,candidate_count,top_k,p50_ms,p95_ms,p99_ms,mean_ms,cv,bytes_per_query,ndcg,recall,mrr,scope_violations
vector,baseline,vector,none,10,10,0.093,0.147,0.279,0.108,0.6269,3159,0.5203,0.5729,0.5194,0
vector+rerank-app@10,treatment,vector,app,10,10,1.726,1.968,2.055,1.748,0.0449,3159,0.5775,0.5729,0.6271,0
vector+control-app@10,control,vector,app,10,10,0.109,0.159,0.183,0.117,0.1956,3159,0.5203,0.5729,0.5194,0
vector+rerank-app@20,treatment,vector,app,20,10,3.311,3.555,3.669,3.348,0.0290,6290,0.6608,0.6875,0.6979,0
vector+control-app@20,control,vector,app,20,10,0.116,0.166,0.224,0.127,0.2474,6290,0.5203,0.5729,0.5194,0
vector+rerank-app@40,treatment,vector,app,40,10,6.515,6.840,6.907,6.174,0.1521,12111,0.6688,0.7396,0.6964,0
vector+control-app@40,control,vector,app,40,10,0.141,0.217,0.373,0.157,0.4678,12111,0.5203,0.5729,0.5194,0
vector+rerank-app@80,treatment,vector,app,80,10,9.312,13.153,13.323,8.997,0.3336,17953,0.6658,0.7396,0.6927,0
vector+control-app@80,control,vector,app,80,10,0.149,0.222,0.468,0.163,0.3550,17953,0.5203,0.5729,0.5194,0
lexical,baseline,lexical,none,10,10,0.277,0.456,0.681,0.310,0.3020,2851,0.6568,0.7396,0.6375,0
lexical+rerank-app@10,treatment,lexical,app,10,10,1.895,2.095,2.485,1.849,0.1820,2851,0.6819,0.7396,0.7019,0
lexical+control-app@10,control,lexical,app,10,10,0.292,0.474,0.582,0.326,0.2432,2851,0.6568,0.7396,0.6375,0
lexical+rerank-app@20,treatment,lexical,app,20,10,3.489,3.626,3.959,2.950,0.2941,5055,0.6659,0.7396,0.6927,0
lexical+control-app@20,control,lexical,app,20,10,0.322,0.500,0.612,0.350,0.2171,5055,0.6568,0.7396,0.6375,0
lexical+rerank-app@40,treatment,lexical,app,40,10,3.679,6.839,7.161,3.958,0.4909,7217,0.6658,0.7396,0.6927,0
lexical+control-app@40,control,lexical,app,40,10,0.348,0.550,0.739,0.381,0.2636,7217,0.6568,0.7396,0.6375,0
lexical+rerank-app@80,treatment,lexical,app,80,10,3.662,8.221,8.321,4.130,0.5420,7641,0.6658,0.7396,0.6927,0
lexical+control-app@80,control,lexical,app,80,10,0.341,0.599,0.790,0.379,0.2799,7641,0.6568,0.7396,0.6375,0
hybrid-rrf,baseline,hybrid-rrf,none,10,10,0.385,0.562,0.878,0.413,0.2522,3130,0.6713,0.7187,0.6757,0
hybrid-rrf+rerank-app@10,treatment,hybrid-rrf,app,10,10,2.048,2.449,2.567,2.112,0.0780,3130,0.6795,0.7187,0.7104,0
hybrid-rrf+control-app@10,control,hybrid-rrf,app,10,10,0.423,0.658,0.896,0.485,0.2717,3130,0.6713,0.7187,0.6757,0
hybrid-rrf+rerank-app@20,treatment,hybrid-rrf,app,20,10,3.622,3.856,4.111,3.658,0.0316,6275,0.6772,0.7396,0.7001,0
hybrid-rrf+control-app@20,control,hybrid-rrf,app,20,10,0.413,0.600,0.712,0.446,0.1851,6275,0.6826,0.7396,0.6844,0
hybrid-rrf+rerank-app@40,treatment,hybrid-rrf,app,40,10,6.831,7.199,7.277,6.467,0.1449,12115,0.6658,0.7396,0.6927,0
hybrid-rrf+control-app@40,control,hybrid-rrf,app,40,10,0.443,0.604,0.669,0.464,0.1482,12115,0.6873,0.7396,0.6875,0
hybrid-rrf+rerank-app@80,treatment,hybrid-rrf,app,80,10,9.429,13.372,13.836,9.304,0.3229,17992,0.6658,0.7396,0.6927,0
hybrid-rrf+control-app@80,control,hybrid-rrf,app,80,10,0.470,0.676,0.854,0.488,0.2179,17992,0.6873,0.7396,0.6875,0
